"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"28509-31061","RB","T.J.","T.J. Yeldon","Yeldon","11.5","3","6000","NYJ@JAC","JAC","NYJ","Q","Ankle","","",""
"28509-11615","QB","Joe","Joe Webb III","Webb III","2.9000000953674316","2","6000","HOU@IND","HOU","IND","","","","",""
"28509-39280","RB","Derrick","Derrick Henry","Henry","5.0733334223429365","3","6000","PHI@TEN","TEN","PHI","","","","",""
"28509-21959","QB","Brandon","Brandon Weeden","Weeden","0","0","6000","HOU@IND","HOU","IND","","","","",""
"28509-21994","QB","Brock","Brock Osweiler","Osweiler","12.153333028157553","6","6000","MIA@NE","MIA","NE","","","","",""
"28509-33259","QB","Teddy","Teddy Bridgewater","Bridgewater","-1.2999999523162842","1","6000","NO@NYG","NO","NYG","","","","",""
"28509-45565","QB","Taysom","Taysom Hill","Hill","1.9500000476837158","2","6000","NO@NYG","NO","NYG","","","","",""
"28509-6679","QB","Matt","Matt Schaub","Schaub","0","1","6000","CIN@ATL","ATL","CIN","","","","",""
"28509-30231","QB","Jacoby","Jacoby Brissett","Brissett","0","1","6000","HOU@IND","IND","HOU","","","","",""
"28509-40482","QB","Tim","Tim Boyle","Boyle","0","0","6000","BUF@GB","GB","BUF","","","","",""
"28509-23075","QB","Alex","Alex Tanney","Tanney","0","0","6000","NO@NYG","NYG","NO","","","","",""
"28509-30253","QB","Jeff","Jeff Driskel","Driskel","0","0","6000","CIN@ATL","CIN","ATL","","","","",""
"28509-40534","QB","Mike","Mike White","White","0","0","6000","DET@DAL","DAL","DET","","","","",""
"28509-41562","QB","Nick","Nick Mullens","Mullens","0","0","6000","SF@LAC","SF","LAC","","","","",""
"28509-7778","QB","Matt","Matt Cassel","Cassel","-0.5400000214576721","1","6000","DET@DAL","DET","DAL","","","","",""
"28509-8803","QB","Chase","Chase Daniel","Daniel","-0.20000000298023224","1","6000","TB@CHI","CHI","TB","","","","",""
"28509-6803","QB","Josh","Josh McCown","McCown","16.495384803185097","13","6000","NYJ@JAC","NYJ","JAC","","","","",""
"28509-44715","QB","Cooper","Cooper Rush","Rush","0.6899999976158142","2","6000","DET@DAL","DAL","DET","","","","",""
"28509-7872","QB","Brian","Brian Hoyer","Hoyer","6.7879997253417965","10","6000","MIA@NE","NE","MIA","","","","",""
"28509-41732","QB","Christian","Christian Hackenberg","Hackenberg","0","0","6000","CIN@ATL","CIN","ATL","","","","",""
"28509-25410","QB","Mike","Mike Glennon","Glennon","9.680000305175781","4","6000","SEA@ARI","ARI","SEA","","","","",""
"28509-28515","QB","Cardale","Cardale Jones","Jones","0","0","6000","SF@LAC","LAC","SF","","","","",""
"28509-41827","QB","Phillip","Phillip Walker","Walker","0","0","6000","HOU@IND","IND","HOU","","","","",""
