PLAYER	POS	TEAM	OPP	ML	O/U	SPRD	TM/P	OWN%	SAL	FPTS	VAL
Rico Gathers	TE	DAL	DET	-145	44.00	-2.50	23.25	0.22	2500	0.3	0.1
Logan Thomas	TE	BUF	@GB	320	44.00	9.50	17.25	0.49	2500	0.3	0.1
Javon Wims	WR	CHI	TB	-145	46.00	-3.00	24.50	0.11	3000	0.3	0.1
Damion Ratley	WR	CLE	@OAK	115	44.00	2.50	20.75	0.05	3000	0.2	0.1
Marcedes Lewis	TE	GB	BUF	-420	44.00	-9.50	26.75	0.47	2500	0.2	0.1
Equanimeous St. Brown	WR	GB	BUF	-420	44.00	-9.50	26.75	0.17	3000	0.2	0.1
Blake Jarwin	TE	DAL	DET	-145	44.00	-2.50	23.25	0.21	2500	0.2	0.1
Levine Toilolo	TE	DET	@DAL	125	44.00	2.50	20.75	0.13	2500	0.2	0.1
Mike Davis	RB	SEA	@ARI	-190	40.00	0.00	20.00	0.00	3000	0.2	0.1
Ryan Hewitt	TE	IND	HOU	0	0.00	0.00	0.00	0.18	2500	0.1	0.1
Damien Williams	RB	KC	@DEN	-195	54.50	0.00	27.25	0.04	3000	0.1	0.0
Russell Gage	WR	ATL	CIN	-195	52.50	-3.50	28.00	0.24	3000	0.1	0.0
Hakeem Valles	TE	DET	@DAL	125	44.00	2.50	20.75	0.13	2500	0.1	0.0
Raheem Mostert	RB	SF	@LAC	360	46.00	10.00	18.00	0.32	3000	0.1	0.0
Mark Walton	RB	CIN	@ATL	165	52.50	3.50	24.50	0.23	3300	0.1	0.0
Josh Adams	RB	PHI	@TEN	-160	41.00	0.00	20.50	0.00	3000	0.1	0.0
Jimmy Garoppolo	QB	SF	@LAC	360	46.00	10.00	18.00	0.00	5600	0.0	0.0
