PLAYER	POS	TEAM	OPP	ML	O/U	SPRD	TM/P	OWN%	SAL	FPTS	VAL
Kenny Stills	WR	MIA	@NE	230	49.50	6.50	21.50	5.30	5800	19.9	3.4
Matt Breida	RB	SF	@LAC	360	46.00	10.00	18.00	5.73	5800	17.1	3.0
Josh Gordon	WR	NE	MIA	-280	49.50	-6.50	28.00	4.10	6200	20.0	3.2
Austin Ekeler	RB	LAC	SF	-480	46.00	-10.00	28.00	7.88	4200	16.0	3.8
Doug Baldwin	WR	SEA	@ARI	-190	40.00	0.00	20.00	0.76	5500	22.6	4.1
Brandon Marshall	WR	SEA	@ARI	-190	40.00	0.00	20.00	1.18	4000	18.4	4.6
Marquise Goodwin	WR	SF	@LAC	360	46.00	10.00	18.00	5.23	4800	10.0	2.1
Kelvin Benjamin	WR	BUF	@GB	320	44.00	9.50	17.25	5.98	3600	18.1	5.0
Eric Ebron	TE	IND	HOU	0	0.00	0.00	0.00	3.83	3600	20.9	5.8
DeSean Jackson	WR	TB	@CHI	125	46.00	3.00	21.50	2.13	5700	10.0	1.8
Alshon Jeffery	WR	PHI	@TEN	-160	41.00	0.00	20.50	0.73	5700	23.1	4.1
Ted Ginn	WR	NO	@NYG	-170	53.00	0.00	26.50	3.15	4600	10.0	2.2
Christian Kirk	WR	ARI	SEA	160	40.00	0.00	20.00	1.41	3700	17.9	4.8
Chris Godwin	WR	TB	@CHI	125	46.00	3.00	21.50	2.59	4500	21.8	4.8
Trey Burton	TE	CHI	TB	-145	46.00	-3.00	24.50	4.33	3900	19.1	4.9
Danny Amendola	WR	MIA	@NE	230	49.50	6.50	21.50	6.22	4100	20.4	5.0
Tyrell Williams	WR	LAC	SF	-480	46.00	-10.00	28.00	6.31	3700	17.9	4.8
Mohamed Sanu	WR	ATL	CIN	-195	52.50	-3.50	28.00	6.67	3600	20.9	5.8
DeVante Parker	WR	MIA	@NE	230	49.50	6.50	21.50	7.06	3500	16.0	4.6
Robby Anderson	WR	NYJ	@JAX	280	39.50	7.50	16.00	2.57	3600	15.5	4.3
John Ross	WR	CIN	@ATL	165	52.50	3.50	24.50	6.03	3300	17.4	5.3
Pierre Garcon	WR	SF	@LAC	360	46.00	10.00	18.00	4.60	4600	19.1	4.2
Aaron Jones	RB	GB	BUF	-420	44.00	-9.50	26.75	5.31	4100	16.4	4.0
Jacksonville Jaguars	D	JAX	NYJ	280	39.50	7.50	16.00	0.00	4100	9.8	2.4
Kerryon Johnson	RB	DET	@DAL	125	44.00	2.50	20.75	1.77	4400	15.8	3.6
Cole Beasley	WR	DAL	DET	-145	44.00	-2.50	23.25	2.53	3900	19.9	5.1
Tyler Eifert	TE	CIN	@ATL	165	52.50	3.50	24.50	4.44	3800	17.1	4.5
Isaiah Crowell	RB	NYJ	@JAX	280	39.50	7.50	16.00	2.14	3700	17.6	4.8
George Kittle	TE	SF	@LAC	360	46.00	10.00	18.00	4.45	4200	20.2	4.8
Ryan Grant	WR	IND	HOU	0	0.00	0.00	0.00	2.10	4200	19.6	4.7
O.J. Howard	TE	TB	@CHI	125	46.00	3.00	21.50	3.15	3500	17.3	4.9
Dion Lewis	RB	TEN	PHI	135	41.00	0.00	20.50	0.45	4400	15.8	3.6
